Title,Description,Links,Publication Date
МИД Омана: второй туп переговоров США и Ирана пройдет 19 апреля,"Министерство иностранных дел Омана сообщило, что второй раунд переговоров между Ираном и США, посвященных урегулированию разногласий вокруг ядерной программы Тегерана, состоится 19 апреля в Риме. «В эту субботу в Риме пройдет второй раунд переговоров между представителями Исламской Республики Иран и Соединенных Штатов Америки.",https://www.kommersant.ru/doc/7660232,"Thu, 17 Apr 2025 21:20:48 +0300"
За год камеры зафиксировали 236 млн нарушений ПДД,"Научный центр безопасности дорожного движения (НЦ БДД) МВД России сообщил, что в 2024 году при помощи дорожных камер зафиксировали 236,6 млн нарушений. Общее количество дорожных камер за год увеличилось на 10% и достигло 32 тыс. штук.",https://www.kommersant.ru/doc/7660158,"Thu, 17 Apr 2025 21:18:58 +0300"
Над Энергодаром сбиты три беспилотника,"Город-спутник Запорожской АЭС подвергся атаке трех беспилотников вертолетного типа, сообщил мэр Энергодара Максим Пухов. По его данным, жертв нет, повреждено одно транспортное средство.",https://www.kommersant.ru/doc/7660191,"Thu, 17 Apr 2025 21:03:12 +0300"
Трамп: США и Украина подпишут соглашение по минералам 24 апреля,Правительства США и Украины подпишут соглашение по редкоземельным металлам 24 апреля. Об этом сообщил президент США Дональд Трамп.,https://www.kommersant.ru/doc/7660223,"Thu, 17 Apr 2025 21:01:05 +0300"
Трамп: ответ России по прекращению огня ожидается на этой неделе,"Президент США Дональд Трамп сообщил, что ожидает ответ от властей России на предложение о прекращении огня на Украине уже на этой неделе. Новость дополняется.",https://www.kommersant.ru/doc/7660222,"Thu, 17 Apr 2025 20:55:59 +0300"
Трамп: соглашение с ЕС по тарифам будет 100%,"Президент США Дональд Трамп и премьер-министр Италии Джорджа Мелони согласились в том, что торговое соглашение между ЕС и США может быть достигнуто, несмотря на напряженность, вызванную масштабными тарифами Штатов в 10–50% в отношении 185 стран. «Торговая сделка будет, 100%.",https://www.kommersant.ru/doc/7660197,"Thu, 17 Apr 2025 20:51:38 +0300"
Во время стрельбы в университете Флориды погибли пять человек,"В результате стрельбы в университете Флориды пять человек погибли, четверо получили ранения, сообщает местный телеканал WFTV со ссылкой на источник. CNN ранее писало о как минимум шести пострадавших.",https://www.kommersant.ru/doc/7660217,"Thu, 17 Apr 2025 20:48:21 +0300"
В 70% случаев наложение санкций США связано с Россией,"По подсчетам Center for a New American Security, за весь прошлый год 70% всех случаев включения в американский черный список связаны именно с антироссийскими санкциями. Так, по основанию «связи с Россией» в 2024 году в SDN-list добавили 2196 субъектов, из которых 1681 — российские граждане и организации (включая более 50 банков), а остальные лица происходят из 55 стран.",https://www.kommersant.ru/doc/7660185,"Thu, 17 Apr 2025 20:45:57 +0300"
Мужчина устроил стрельбу в кампусе университета Флориды,"В Университете штата Флорида произошла стрельба, в результате которой пострадали как минимум четыре человека. Подозреваемый задержан, сообщили источники в правоохранительных органах, передает CNN.",https://www.kommersant.ru/doc/7660214,"Thu, 17 Apr 2025 20:35:55 +0300"
Парламент Литвы отклонил предложение об аннулировании ВНЖ россиянам,"Парламент Литвы не поддержал законопроект, который подразумевает аннулирование ВНЖ гражданам России и Белоруссии. Ужесточить меры предлагали депутаты Консервативной партии.",https://www.kommersant.ru/doc/7660196,"Thu, 17 Apr 2025 20:29:56 +0300"
РКН: сбои в Telegram связаны с неполадками в инфраструктуре,"Роскомнадзор зафиксировал массовые жалобы на работу мессенджера Telegram сегодня, 17 апреля, вечером. Проблемы отмечались в Германии, Болгарии, России и Испании.",https://www.kommersant.ru/doc/7660193,"Thu, 17 Apr 2025 20:24:35 +0300"
Вслед за Астраханью приостановили работу аэропорты Грозного и Владикавказа,"Росавиация сообщила, что аэропорты Владикавказа и Грозного временно прекратили прием и отправку воздушных судов. Ограничения начали действовать в 19:52 мск.",https://www.kommersant.ru/doc/7660190,"Thu, 17 Apr 2025 20:21:25 +0300"
Аэропорт Астрахани приостановил работу,"Росавиация сообщила, что в 18:30 мск в аэропорту Астрахани приостановили прием и выпуск воздушных судов. Ограничения введены с целью обеспечения безопасности полетов.",https://www.kommersant.ru/doc/7660173,"Thu, 17 Apr 2025 20:01:35 +0300"
МАГАТЭ объявило о решающей стадии переговоров по ядерной программе Ирана,"Гендиректор Международного агентства по атомной энергии Рафаэль Гросси заявил, что переговоры между Ираном и США касательно ядерной программы Исламской Республики находятся на решающей стадии. Он добавил, что у Вашингтона мало времени до возможного создания ядерного арсенала Ираном.",https://www.kommersant.ru/doc/7660169,"Thu, 17 Apr 2025 19:59:55 +0300"
"ЦБ: инфляционные ожидания населения в апреле выросли до 13,1%","Банк России в преддверии «недели тишины» опубликовал данные об инфляционных ожиданиях, в апреле они выросли с 12,9% до 13,1% в марте. При этом оценка наблюдаемой населением инфляции снизилась с 16,5% до 15,8%, следует из опроса «инФОМ», проведенного по заказу Банка России.",https://www.kommersant.ru/doc/7660154,"Thu, 17 Apr 2025 19:45:59 +0300"
В работе Telegram произошел сбой,"В работе мессенджера Telegram зафиксированы сбои, следует из данных сервисов «Сбой.рф» и Downdetector. Пользователи сообщают, что у них не открывается мобильное приложение, не отправляются сообщения и не загружаются медиафайлы.",https://www.kommersant.ru/doc/7660170,"Thu, 17 Apr 2025 19:45:38 +0300"
Путин наградил Захарову орденом «За заслуги перед Отечеством»,Президент России Владимир Путин наградил представителя Министерства иностранных дел Марию Захарову орденом «За заслуги перед Отечеством» IV степени. Соответствующий указ опубликован на портале правовой информации.,https://www.kommersant.ru/doc/7660168,"Thu, 17 Apr 2025 19:43:04 +0300"
Трамп допустил «очень хорошую» сделку с Китаем,"Президент США Дональд Трамп заявил, что считает достижимой «очень хорошую» торговую сделку с Китаем. В то же время его не беспокоит возможность сближения Китая и ЕС на фоне повышения американских пошлин.",https://www.kommersant.ru/doc/7660161,"Thu, 17 Apr 2025 19:39:13 +0300"
«Авангард» оказался в шаге от вылета из play-off КХЛ,Ярославский «Локомотив» в овертайме обыграл омский «Авангард» (2:1) в четвертом матче серии 1/4 финала play-off Континентальной хоккейной лиги (КХЛ) и нарастил преимущество в серии до четырех побед — 3:1. Победную шайбу на 68-й минуте забросил Александр Радулов.,https://www.kommersant.ru/doc/7660156,"Thu, 17 Apr 2025 19:27:46 +0300"
Ученик ударил учителя молотком в школе подмосковных Люберец,"В Томилинский отдел полиции поступило сообщение о нападении школьника на преподавателя. По предварительным данным, инцидент произошел в школе на ул.",https://www.kommersant.ru/doc/7660145,"Thu, 17 Apr 2025 19:09:37 +0300"
Сбербанк рассмотрит вопрос выплаты дивидендов за 2024 в апреле,"Глава Сбербанка (MOEX: SBER) Герман Греф сообщил, что банк может направить на выплату дивидендов за 2024 год не менее 50% чистой прибыли по МСФО. Он добавил, что наблюдательный совет рассмотрит этот вопрос в конце апреля.",https://www.kommersant.ru/doc/7660138,"Thu, 17 Apr 2025 19:08:57 +0300"
Бывшего замгубернатора Курской области арестовали по делу о хищениях,"Мещанский районный суд Москвы арестовал на два месяца (до 16 июня) бывшего первого заместителя губернатора Курской области Алексея Дедова, сообщает корреспондент «Ъ». Экс-чиновник проходит вторым фигурантом по делу экс-главы региона Алексея Смирнова.",https://www.kommersant.ru/doc/7660112,"Thu, 17 Apr 2025 18:58:20 +0300"
МИД РФ заявил о перспективах полноценного партнерства с Афганистаном,"Снятие террористического статуса с движения «Талибан» позволит наладить полноценное партнерство с Афганистаном, заявил МИД России. Как отмечает ведомство, Москва нацелена на сотрудничество с Кабулом в области борьбы с наркотиками и терроризмом.",https://www.kommersant.ru/doc/7660136,"Thu, 17 Apr 2025 18:49:56 +0300"
Зарина Гусалова стала серебряным призером чемпионата Европы по тяжелой атлетике,Россиянка Зарина Гусалова завоевала серебряную медаль на чемпионате Европы по тяжелой атлетике в весовой категории до 71 кг. Турнир проходит в Кишиневе.,https://www.kommersant.ru/doc/7660132,"Thu, 17 Apr 2025 18:45:35 +0300"
Вице-премьер Оверчук: правительство готовит предложения по проектам с Афганистаном,"Правительство РФ прорабатывает ряд проектных предложений по развитию экономики Афганистана и укреплению двусторонних связей Москвы и Кабула. Об этом сегодня, 17 апреля, заявил вице-премьер Алексей Оверчук.",https://www.kommersant.ru/doc/7660131,"Thu, 17 Apr 2025 18:45:32 +0300"
Дуров ответил на обвинения в нарушении законов ЕС,"Основатель Telegram Павел Дуров ответил на материал французской газеты о том, что его задержание в 2024 году заставило мессенджер соблюдать европейские правила. Он пояснил, что Telegram всегда соблюдал законы ЕС, в то время как полиция Франции не отправляла официальные запросы администрации мессенджера, и поэтому никаких ответов компания не давала.",https://www.kommersant.ru/doc/7660129,"Thu, 17 Apr 2025 18:44:27 +0300"
